product title,variant title,# subscriptions having item,total units
"Seasonal (ships once every season, auto-renews every season)",,1455,1460
"Daebak Box - Annual Plan (auto-renews, cancel anytime)",,1299,1299
"Daebak Jewelry Collection - Annual Plan (auto-renews, cancel anytime)",,183,183
"Daebak Jewelry Collection - Seasonal Plan (auto-renews, cancel anytime)",,159,159
"Original - Month to Month (auto-renews, cancel anytime, ships once a month)",,7,9
"Original - 3 Month Prepay (auto-renews, cancel anytime, ships once a month)",,2,2
"Original - 6 Month Prepay (auto-renews, cancel anytime, ships once a month)",,1,1
"Deluxe - Month to Month (auto-renews, cancel anytime, ships once a month)",,142,144
"Deluxe - 3 Month Prepay (auto-renews, cancel anytime, ships once a month)",,61,61
Deluxe - 6 Month Prepay Auto renew,,21,21
"Deluxe - 12 Month Prepay (auto-renews, cancel anytime, ships once a month)",,14,14
Etude is Daebak - Seasonal Auto renew,,24,24
Etude is Daebak - Annual Auto renew,,32,32
istyle is Daebak - Seasonal (auto-renews until last box),,6,6
istyle is Daebak - Annual (does not auto-renew),,14,14
Esther Bunny is Daebak - Seasonal Auto renew,,22,22
Esther Bunny is Daebak - Annual Auto renew,,17,17
CJ is Daebak - Annual Auto renew,,39,39
CJ is Daebak - Seasonal (auto renews until last box),,30,30
Wiggle Wiggle is Daebak - Seasonal (auto-renews until last box),,4,4
Wiggle Wiggle is Daebak - Annual Auto renew,,10,10
